Date,AAPL,AMZN,BA,BAC,GE,GOOGL,JNJ,JPM,KO,META,MSFT,NVDA,PEP,PFE,T,TSLA,UNH,VZ,WFC,WMT
2017-10-12,39.00,50.05,261.91,25.45,118.58,50.28,136.83,95.99,46.11,172.55,77.12,4.78,112.45,35.53,28.06,23.71,192.92,48.35,55.21,28.70
2017-10-13,39.25,50.15,260.74,25.83,118.22,50.39,136.43,95.86,46.18,173.74,77.49,4.86,112.62,35.52,27.94,23.70,192.52,47.86,53.69,28.87
2017-10-16,39.97,50.32,259.75,26.24,120.17,50.47,136.12,97.84,46.62,174.52,77.65,4.95,113.57,35.17,28.30,23.37,193.20,48.09,53.80,28.58
2017-10-17,40.12,50.46,258.62,26.20,119.30,50.55,140.79,97.62,46.52,176.11,77.59,4.94,112.19,35.38,28.35,23.72,203.89,48.40,53.19,28.66
2017-10-18,39.94,49.85,260.04,26.48,118.94,50.64,140.68,97.99,46.40,176.03,77.61,4.94,111.95,35.02,27.94,23.98,205.23,48.65,53.41,28.74
2017-10-19,38.99,49.33,259.04,26.58,121.30,50.09,142.04,98.11,46.59,174.56,77.91,4.95,112.67,35.42,27.93,23.45,203.25,49.21,53.75,28.80
2017-10-20,39.06,49.15,264.75,27.17,122.59,50.25,142.40,99.51,46.38,174.98,78.81,4.92,111.61,35.60,27.81,23.01,207.49,49.53,54.92,29.15
2017-10-23,39.04,48.31,262.32,27.16,114.82,49.28,143.62,99.34,46.32,171.27,78.83,4.92,111.69,35.58,27.58,22.47,207.01,48.99,54.91,29.55
2017-10-24,39.27,48.80,266.00,27.68,112.61,49.42,141.64,100.92,46.18,171.80,78.86,4.97,110.75,35.45,27.28,22.49,208.15,48.94,55.42,29.33
2017-10-25,39.10,48.65,258.42,27.63,110.60,49.57,142.36,101.02,46.05,170.60,78.63,4.84,110.07,35.35,26.21,21.72,207.56,48.64,55.25,29.49
2017-10-26,39.35,48.62,259.27,27.74,109.68,49.57,141.81,101.74,46.23,170.63,78.76,4.89,110.73,34.93,26.36,21.74,209.15,48.89,55.62,29.54
2017-10-27,40.76,55.05,256.46,27.80,106.95,51.68,141.78,101.77,46.07,177.88,83.81,5.05,110.60,34.80,26.58,21.39,212.60,48.87,55.87,29.39
2017-10-30,41.68,55.54,259.25,27.60,104.99,51.66,140.00,101.41,45.86,179.87,83.89,5.10,109.65,34.36,26.25,21.34,209.39,47.83,55.85,28.98
2017-10-31,42.26,55.26,257.98,27.39,103.71,51.65,139.41,100.61,45.98,180.06,83.18,5.17,110.23,34.27,26.33,22.10,210.22,47.87,56.14,29.10
2017-11-01,41.72,55.18,258.50,27.53,102.99,52.13,139.98,100.92,45.80,182.66,83.18,5.18,110.13,34.47,26.25,21.41,209.53,47.83,56.21,29.31
